index,trans_date_trans_time,cc_num,device_os,merchant,amt,trans_num,unix_time,is_fraud
7964,2023-01-02 01:01:01,3418944575145652,nan,Merchant_48,299.55,TRANS_414659,1672621261,0
1108,2023-01-02 01:54:55,8907910719233703,Linux,Merchant_20,348.31,TRANS_292301,1672624495,0
3964,2023-01-02 03:11:32,8801617043879553,macOS,Merchant_97,6.64,TRANS_916898,1672629092,0
9992,2023-01-02 03:15:34,3825477590903238,nan,Merchant_65,236.08,TRANS_763732,1672629334,0
7205,2023-01-02 03:17:58,5847400826403727,nan,Merchant_35,92.61,TRANS_975918,1672629478,0
5773,2023-01-02 03:30:49,9879956442296963,nan,Merchant_76,359.97,TRANS_491833,1672630249,0
2461,2023-01-02 04:16:19,8246865822746720,nan,Merchant_80,440.28,TRANS_377931,1672632979,0
3649,2023-01-02 04:49:41,9879956442296963,other,Merchant_10,499.78,TRANS_899159,1672634981,0
5811,2023-01-02 07:04:49,7589371177001440,nan,Merchant_18,493.1,TRANS_313547,1672643089,0
4471,2023-01-02 09:17:35,3883583643373828,Linux,Merchant_59,495.77,TRANS_574757,1672651055,0
9751,2023-01-02 09:54:52,2059776767776803,nan,Merchant_18,54.13,TRANS_672418,1672653292,0
6585,2023-01-02 10:15:42,1082317874685593,nan,Merchant_67,205.74,TRANS_424096,1672654542,0
6585,2023-01-02 10:15:42,9999999999999999,Linux,Unknown_Merchant,205.74,TRANS_424096,1672654542,0
8734,2023-01-02 11:14:00,9909505812609127,nan,Merchant_41,193.54,TRANS_829864,1672658040,0
6274,2023-01-02 12:34:09,1326572739307092,macOS,Merchant_6,295.84,TRANS_287333,1672662849,0
5792,2023-01-02 13:03:04,8066619622876660,macOS,Merchant_89,482.76,TRANS_501262,1672664584,0
1241,2023-01-02 13:05:18,8066619622876660,X11,Merchant_92,388.52,TRANS_871066,1672664718,0
5903,2023-01-02 13:29:10,3612143410559240,nan,Merchant_33,188.53,TRANS_394850,1672666150,0
3009,2023-01-02 13:41:43,5604654092341286,Windows,Merchant_41,26.87,TRANS_353946,1672666903,0
8548,2023-01-02 13:59:37,7535110911009677,nan,Merchant_45,194.67,TRANS_184160,1672667977,0
8639,2023-01-02 14:39:26,4592933858817442,Windows,Merchant_90,302.53,TRANS_420552,1672670366,0
3782,2023-01-02 14:53:54,9146295026237194,nan,Merchant_68,6.39,TRANS_256198,1672671234,0
3325,2023-01-02 14:55:44,1379606186864305,nan,Merchant_76,376.12,TRANS_194869,1672671344,0
5726,2023-01-02 15:11:02,9953660435726429,nan,Merchant_48,99.39,TRANS_445480,1672672262,0
8050,2023-01-02 16:25:54,9599237970166486,X11,Merchant_83,64.53,TRANS_344250,1672676754,0
7839,2023-01-02 18:11:11,8299329211991767,macOS,Merchant_98,434.68,TRANS_790974,1672683071,0
2980,2023-01-02 19:30:00,8427424672422404,Linux,Merchant_12,219.39,TRANS_630432,1672687800,0
5892,2023-01-02 20:13:45,9774222376811422,other,Merchant_85,246.69,TRANS_602187,1672690425,0
3066,2023-01-02 20:14:44,2433145716224582,Linux,Merchant_19,8.54,TRANS_377497,1672690484,0
3332,2023-01-02 20:52:20,6038130251396085,nan,Merchant_13,85.77,TRANS_577182,1672692740,0
6029,2023-01-02 21:16:56,7145604638895575,nan,Merchant_83,51.48,TRANS_701861,1672694216,0
7101,2023-01-02 21:52:03,5299228950052670,other,Merchant_18,101.5,TRANS_210534,1672696323,0
3204,2023-01-03 01:49:24,2610627570699769,Windows,Merchant_11,338.79,TRANS_415636,1672710564,0
566,2023-01-03 02:01:16,7281138416485122,macOS,Merchant_59,196.73,TRANS_104718,1672711276,0
8637,2023-01-03 02:30:42,4203557817968130,nan,Merchant_75,229.05,TRANS_181535,1672713042,0
9589,2023-01-03 03:04:08,8774228353609192,nan,Merchant_66,395.71,TRANS_682981,1672715048,0
9267,2023-01-03 03:17:34,1074512523682446,macOS,Merchant_27,140.79,TRANS_837670,1672715854,0
171,2023-01-03 03:49:27,1533584772545755,X11,Merchant_48,9.28,TRANS_637261,1672717767,0
9879,2023-01-03 07:35:59,6549608170633327,macOS,Merchant_54,277.85,TRANS_809365,1672731359,0
2702,2023-01-03 08:32:39,2771930918402250,other,Merchant_76,63.65,TRANS_780667,1672734759,0
4380,2023-01-03 08:44:13,4926343777515265,nan,Merchant_16,31.96,TRANS_363502,1672735453,0
5429,2023-01-03 08:59:35,4967457890134547,nan,Merchant_51,358.28,TRANS_479983,1672736375,0
907,2023-01-03 09:28:23,9116833540864362,Windows,Merchant_63,171.57,TRANS_630053,1672738103,0
4404,2023-01-03 09:44:12,9176521297121230,nan,Merchant_89,494.76,TRANS_904702,1672739052,0
4754,2023-01-03 12:03:26,2661147954578566,Windows,Merchant_88,430.86,TRANS_547838,1672747406,0
2781,2023-01-03 12:07:00,5152617136263396,nan,Merchant_95,421.98,TRANS_608231,1672747620,0
3016,2023-01-03 12:12:21,5604743620825273,nan,Merchant_56,366.62,TRANS_483259,1672747941,0
9372,2023-01-03 12:32:41,9953660435726429,Windows,Merchant_14,25.98,TRANS_927832,1672749161,0
8524,2023-01-03 12:40:24,3981584445591529,macOS,Merchant_41,269.17,TRANS_563421,1672749624,0
4598,2023-01-03 13:13:01,9220393228789837,Windows,Merchant_99,203.26,TRANS_436287,1672751581,0
4007,2023-01-03 13:22:42,3823212759487420,nan,Merchant_44,204.82,TRANS_879621,1672752162,0
6932,2023-01-03 15:16:57,4183248211045301,nan,Merchant_72,214.13,TRANS_145441,1672759017,0
5790,2023-01-03 16:14:02,3276644916419412,nan,Merchant_71,133.32,TRANS_922706,1672762442,0
3427,2023-01-03 17:28:51,4347299737056228,Linux,Merchant_78,312.68,TRANS_392634,1672766931,0
2029,2023-01-03 19:56:31,7194579481126091,macOS,Merchant_43,327.43,TRANS_327462,1672775791,0
1362,2023-01-03 20:46:15,4337584115674868,other,Merchant_28,311.86,TRANS_314414,1672778775,0
5874,2023-01-03 21:33:56,9246864866595852,nan,Merchant_58,208.4,TRANS_133268,1672781636,0
9815,2023-01-03 22:38:11,6726872814611978,nan,Merchant_88,348.7,TRANS_390734,1672785491,0
1650,2023-01-03 22:47:50,5368477443143269,nan,Merchant_30,19.04,TRANS_100543,1672786070,0
8666,2023-01-03 22:53:30,1850825919141189,nan,Merchant_76,353.81,TRANS_349998,1672786410,0
6717,2023-01-04 01:01:38,5935901952811941,macOS,Merchant_74,219.45,TRANS_444749,1672794098,0
6386,2023-01-04 01:02:09,2577458893148050,nan,Merchant_34,279.07,TRANS_138020,1672794129,0
65,2023-01-04 02:45:40,2938871353342013,nan,Merchant_46,271.81,TRANS_304513,1672800340,0
6402,2023-01-04 04:23:54,8875507560444684,nan,Merchant_6,102.55,TRANS_456325,1672806234,0
9,2023-01-04 05:44:27,1462304938301625,nan,Merchant_60,354.33,TRANS_728314,1672811067,0
8128,2023-01-04 05:51:18,3700790148177958,nan,Merchant_60,433.81,TRANS_658956,1672811478,0
2997,2023-01-04 06:52:40,8704791492458466,X11,Merchant_18,155.58,TRANS_701871,1672815160,0
6533,2023-01-04 07:44:45,8259337159266047,nan,Merchant_21,5.54,TRANS_728627,1672818285,0
2847,2023-01-04 07:53:51,7401462747166641,nan,Merchant_41,126.25,TRANS_743353,1672818831,0
759,2023-01-04 08:24:15,6665510464234163,other,Merchant_76,394.51,TRANS_240005,1672820655,0
7868,2023-01-04 08:48:17,9578530448361640,nan,Merchant_27,179.56,TRANS_260633,1672822097,0
1889,2023-01-04 09:14:13,7908709590511401,nan,Merchant_26,495.91,TRANS_835638,1672823653,0
8644,2023-01-04 09:15:50,1468566283251822,nan,Merchant_42,268.56,TRANS_708540,1672823750,0
8346,2023-01-04 09:49:34,6755305449092074,nan,Merchant_86,405.77,TRANS_478278,1672825774,0
5835,2023-01-04 10:55:29,7975492751906479,nan,Merchant_15,298.11,TRANS_411508,1672829729,0
4563,2023-01-04 10:59:45,4235959476852339,nan,Merchant_37,25.56,TRANS_923233,1672829985,0
5356,2023-01-04 11:44:05,8743665645326677,nan,Merchant_53,85.41,TRANS_209861,1672832645,0
3318,2023-01-04 12:38:33,6802257912274524,nan,Merchant_60,402.44,TRANS_804751,1672835913,0
4830,2023-01-04 12:51:26,7307234570531390,other,Merchant_40,398.42,TRANS_375951,1672836686,0
9397,2023-01-04 13:18:07,8762870739564985,nan,Merchant_41,230.82,TRANS_861513,1672838287,0
4035,2023-01-04 14:51:48,4298986035036664,nan,Merchant_38,494.22,TRANS_718956,1672843908,0
4047,2023-01-04 15:39:44,3048628034282915,nan,Merchant_56,282.55,TRANS_981877,1672846784,0
1318,2023-01-04 16:42:53,8442940279633349,macOS,Merchant_77,41.73,TRANS_708272,1672850573,0
8304,2023-01-04 17:01:22,3853924262812167,nan,Merchant_27,21.12,TRANS_734400,1672851682,0
1713,2023-01-04 17:02:54,3892918951589889,nan,Merchant_1,230.44,TRANS_482561,1672851774,0
1789,2023-01-04 17:23:12,4214916169125234,macOS,Merchant_41,259.69,TRANS_491446,1672852992,0
8503,2023-01-04 17:27:52,9296779798358301,nan,Merchant_84,486.14,TRANS_532884,1672853272,0
864,2023-01-04 17:35:26,8711179386534323,Windows,Merchant_64,200.98,TRANS_616465,1672853726,0
9669,2023-01-04 17:58:36,7219933597539696,X11,Merchant_70,391.54,TRANS_831687,1672855116,0
1651,2023-01-04 18:33:07,6628538377634313,nan,Merchant_50,152.26,TRANS_290125,1672857187,0
4265,2023-01-04 18:37:23,3655892194803886,other,Merchant_41,221.57,TRANS_526023,1672857443,0
5021,2023-01-04 19:03:45,6698717129194905,other,Merchant_77,218.26,TRANS_288777,1672859025,0
8809,2023-01-04 20:06:36,9266603928937790,nan,Merchant_80,62.33,TRANS_299916,1672862796,0
7805,2023-01-04 20:21:34,7297503677315534,other,Merchant_56,54.39,TRANS_541901,1672863694,0
5252,2023-01-04 20:56:43,6109988432551061,nan,Merchant_92,348.89,TRANS_695090,1672865803,0
3316,2023-01-04 21:37:50,1197876871273321,nan,Merchant_68,242.51,TRANS_218861,1672868270,0
3491,2023-01-04 22:27:44,1233198325625451,nan,Merchant_89,303.82,TRANS_976201,1672871264,0
1051,2023-01-05 00:44:21,2911549912927057,nan,Merchant_43,264.94,TRANS_146129,1672879461,0
6100,2023-01-05 00:58:11,7340107587133035,X11,Merchant_46,176.91,TRANS_146688,1672880291,0
9872,2023-01-05 01:29:12,8234212817097551,other,Merchant_5,132.42,TRANS_978207,1672882152,0
5723,2023-01-05 04:34:27,8801617043879553,other,Merchant_88,71.55,TRANS_158810,1672893267,0
7959,2023-01-05 05:04:10,8633913371336738,macOS,Merchant_59,20.26,TRANS_136240,1672895050,0
7337,2023-01-05 05:23:22,1923803664149198,nan,Merchant_44,134.98,TRANS_369844,1672896202,0
8567,2023-01-05 05:35:58,4188516182981087,Linux,Merchant_50,450.05,TRANS_133114,1672896958,0
1805,2023-01-05 07:05:09,4926343777515265,nan,Merchant_1,387.55,TRANS_162637,1672902309,0
4301,2023-01-05 07:08:37,4983992816284718,nan,Merchant_91,469.84,TRANS_814357,1672902517,0
1312,2023-01-05 07:16:38,7987891252174077,nan,Merchant_27,274.25,TRANS_449957,1672902998,0
9999,2023-01-05 07:34:36,5884970060828187,other,Merchant_27,109.35,TRANS_727749,1672904076,0
1128,2023-01-05 10:00:48,7966357354272468,other,Merchant_11,186.97,TRANS_411858,1672912848,0
3533,2023-01-05 13:30:18,5880117062336089,nan,Merchant_2,150.39,TRANS_895928,1672925418,0
3586,2023-01-05 16:29:32,7554841364236395,nan,Merchant_35,227.54,TRANS_926112,1672936172,0
7943,2023-01-05 16:33:17,1437812947227281,X11,Merchant_73,82.8,TRANS_541984,1672936397,0
9445,2023-01-05 17:18:43,1126425339432940,nan,Merchant_33,23.24,TRANS_809096,1672939123,0
4723,2023-01-05 18:27:55,8256711616748698,nan,Merchant_32,209.93,TRANS_614822,1672943275,0
7859,2023-01-05 19:00:39,4166536849061989,X11,Merchant_99,99.15,TRANS_402145,1672945239,0
3972,2023-01-05 19:22:30,2121950153382258,macOS,Merchant_58,138.34,TRANS_783576,1672946550,0
8110,2023-01-05 20:07:04,7340107587133035,macOS,Merchant_97,250.31,TRANS_218831,1672949224,0
5771,2023-01-05 20:23:45,7629393447432147,X11,Merchant_68,360.81,TRANS_388199,1672950225,0
9671,2023-01-05 20:29:48,2616871589182697,nan,Merchant_25,349.34,TRANS_778796,1672950588,0
2981,2023-01-05 21:11:26,9279720437338455,nan,Merchant_53,118.25,TRANS_663090,1672953086,0
8833,2023-01-05 21:30:21,8870220784742643,other,Merchant_22,256.26,TRANS_516468,1672954221,0
6739,2023-01-05 22:59:43,4607375392563086,nan,Merchant_40,469.29,TRANS_229511,1672959583,0
5228,2023-01-05 23:00:47,2619248636979924,Windows,Merchant_61,76.72,TRANS_994156,1672959647,0
1784,2023-01-06 00:33:52,1665272571111325,nan,Merchant_95,330.02,TRANS_690123,1672965232,0
8399,2023-01-06 00:36:20,1401525040789513,nan,Merchant_79,478.46,TRANS_596144,1672965380,1
8377,2023-01-06 00:38:44,8249625360285184,Windows,Merchant_84,114.19,TRANS_733338,1672965524,0
6009,2023-01-06 00:49:42,1055239176034803,nan,Merchant_87,127.35,TRANS_631637,1672966182,0
7025,2023-01-06 02:31:13,1194609277713326,Windows,Merchant_12,247.18,TRANS_782630,1672972273,0
3909,2023-01-06 04:06:20,3995222018549835,nan,Merchant_54,163.28,TRANS_910138,1672977980,0
3154,2023-01-06 05:20:55,9041628499938737,nan,Merchant_8,221.83,TRANS_768663,1672982455,0
1096,2023-01-06 05:31:22,1468566283251822,Linux,Merchant_66,111.02,TRANS_114701,1672983082,0
9282,2023-01-06 06:25:52,4496701193575194,nan,Merchant_20,361.03,TRANS_710407,1672986352,0
4442,2023-01-06 06:28:23,3106926578836055,other,Merchant_11,113.1,TRANS_775661,1672986503,0
8747,2023-01-06 06:37:02,6971877378388979,nan,Merchant_52,52.82,TRANS_706747,1672987022,0
1676,2023-01-06 06:54:42,9522467417587573,X11,Merchant_57,41.38,TRANS_536950,1672988082,0
7418,2023-01-06 07:01:14,3892918951589889,nan,Merchant_25,43.87,TRANS_740945,1672988474,0
5382,2023-01-06 08:59:00,8592704356351837,X11,Merchant_42,131.16,TRANS_106256,1672995540,1
5317,2023-01-06 09:16:13,9396434859431114,nan,Merchant_2,479.48,TRANS_165817,1672996573,0
9306,2023-01-06 09:37:41,5235189785111382,other,Merchant_91,126.95,TRANS_973245,1672997861,0
8627,2023-01-06 10:39:45,6802257912274524,Linux,Merchant_65,431.31,TRANS_500990,1673001585,0
5502,2023-01-06 11:03:32,8057863767291492,nan,Merchant_61,117.2,TRANS_523028,1673003012,0
7485,2023-01-06 11:39:43,5862234483438937,nan,Merchant_55,339.65,TRANS_648023,1673005183,0
8594,2023-01-06 12:26:25,7870369412565618,nan,Merchant_18,370.42,TRANS_208341,1673007985,0
3486,2023-01-06 13:43:32,3247717983915675,X11,Merchant_31,178.11,TRANS_770013,1673012612,0
7423,2023-01-06 14:54:27,3256118650539243,nan,Merchant_33,208.47,TRANS_862446,1673016867,0
8034,2023-01-06 15:47:27,5383688248704790,other,Merchant_6,397.4,TRANS_995146,1673020047,0
3774,2023-01-06 17:50:57,4599980840728872,nan,Merchant_66,329.67,TRANS_921771,1673027457,0
8684,2023-01-06 18:15:57,7987891252174077,nan,Merchant_55,169.12,TRANS_691836,1673028957,0
4067,2023-01-06 18:19:02,7589371177001440,nan,Merchant_25,489.6,TRANS_534287,1673029142,0
4877,2023-01-06 18:30:30,9171364575069803,nan,Merchant_27,348.34,TRANS_354108,1673029830,0
5100,2023-01-06 20:44:25,7206519127197294,macOS,Merchant_50,225.09,TRANS_202452,1673037865,0
2233,2023-01-06 21:00:53,4085384223659505,nan,Merchant_20,426.28,TRANS_147226,1673038853,0
1592,2023-01-06 21:15:54,4069244027367014,nan,Merchant_13,65.07,TRANS_683069,1673039754,0
3197,2023-01-06 21:17:09,1160490136796889,Linux,Merchant_9,438.28,TRANS_484127,1673039829,0
42,2023-01-06 21:46:07,4302860476253417,nan,Merchant_74,18.16,TRANS_162744,1673041567,0
8561,2023-01-06 23:47:18,1630543096299767,nan,Merchant_98,448.81,TRANS_413701,1673048838,0
865,2023-01-07 00:33:46,7987344259708701,nan,Merchant_14,280.26,TRANS_600058,1673051626,0
8436,2023-01-07 00:38:21,8186428431838732,nan,Merchant_44,225.6,TRANS_103665,1673051901,0
3624,2023-01-07 00:50:06,6915387455596470,macOS,Merchant_35,125.58,TRANS_823515,1673052606,0
4345,2023-01-07 01:54:01,2616871589182697,other,Merchant_62,177.2,TRANS_141806,1673056441,0
6794,2023-01-07 01:54:58,1895311287583857,macOS,Merchant_22,234.23,TRANS_848467,1673056498,0
5503,2023-01-07 03:33:42,7824308251632226,Windows,Merchant_27,246.51,TRANS_780454,1673062422,0
7091,2023-01-07 04:02:40,5662507878402204,nan,Merchant_91,461.69,TRANS_194001,1673064160,0
4552,2023-01-07 05:20:08,6993579738258838,X11,Merchant_46,77.74,TRANS_719933,1673068808,0
3232,2023-01-07 07:01:39,8442940279633349,nan,Merchant_91,123.43,TRANS_652519,1673074899,0
1109,2023-01-07 07:02:30,1850825919141189,Windows,Merchant_89,77.79,TRANS_386153,1673074950,0
4688,2023-01-07 08:23:46,3370594491936288,Linux,Merchant_82,272.58,TRANS_556318,1673079826,0
6756,2023-01-07 08:28:08,2923383360836086,other,Merchant_80,418.59,TRANS_182552,1673080088,0
8952,2023-01-07 09:20:58,6650594478051972,nan,Merchant_85,3.66,TRANS_733778,1673083258,0
2443,2023-01-07 09:22:22,8640116332642010,nan,Merchant_89,416.99,TRANS_225549,1673083342,0
2222,2023-01-07 09:59:51,9116833540864362,nan,Merchant_67,49.17,TRANS_193671,1673085591,0
3981,2023-01-07 11:19:45,9991842437016603,nan,Merchant_26,403.02,TRANS_660927,1673090385,0
9385,2023-01-07 17:17:30,3536912764436693,nan,Merchant_18,438.42,TRANS_531001,1673111850,0
3619,2023-01-07 19:06:24,8460366189532059,Windows,Merchant_35,88.39,TRANS_725818,1673118384,0
4446,2023-01-07 19:17:02,7690946116511013,Linux,Merchant_79,91.27,TRANS_877467,1673119022,0
7012,2023-01-07 20:01:25,9634137738582084,other,Merchant_51,140.56,TRANS_665244,1673121685,0
3621,2023-01-07 20:59:02,2769790783979271,Linux,Merchant_100,111.03,TRANS_382495,1673125142,0
1394,2023-01-07 21:05:58,6680709859321007,macOS,Merchant_1,169.16,TRANS_591586,1673125558,0
3559,2023-01-07 21:35:49,6197149415702587,nan,Merchant_27,230.33,TRANS_933788,1673127349,0
1095,2023-01-07 22:08:44,9296779798358301,nan,Merchant_63,89.09,TRANS_943648,1673129324,0
8685,2023-01-07 22:19:20,4085384223659505,nan,Merchant_69,293.16,TRANS_223544,1673129960,0
1271,2023-01-07 22:39:37,9541837491099829,nan,Merchant_11,430.2,TRANS_158077,1673131177,0
2362,2023-01-07 22:46:26,2286327878314332,macOS,Merchant_48,148.23,TRANS_626345,1673131586,0
1495,2023-01-07 23:16:12,4746862015057497,nan,Merchant_61,334.44,TRANS_673356,1673133372,0
7291,2023-01-08 02:39:55,4042425858331213,nan,Merchant_33,39.92,TRANS_329625,1673145595,0
6605,2023-01-08 02:45:52,5293563526459488,other,Merchant_67,59.26,TRANS_767374,1673145952,0
7918,2023-01-08 04:21:11,8104593465028847,Linux,Merchant_40,57.77,TRANS_259344,1673151671,0
3728,2023-01-08 04:49:55,9208657129036710,Windows,Merchant_50,82.23,TRANS_604520,1673153395,0
4249,2023-01-08 05:07:26,5687218197547402,macOS,Merchant_97,484.69,TRANS_476213,1673154446,0
1825,2023-01-08 05:50:17,4736860822102517,nan,Merchant_71,265.62,TRANS_170419,1673157017,0
2788,2023-01-08 06:07:52,3415130242689457,nan,Merchant_55,475.76,TRANS_942496,1673158072,0
1080,2023-01-08 08:13:02,3762216137628546,Windows,Merchant_19,393.39,TRANS_365665,1673165582,0
1989,2023-01-08 08:26:14,2931896599837395,nan,Merchant_8,365.02,TRANS_940482,1673166374,0
1989,2023-01-08 08:26:14,2931896599837395,Windows,Merchant_8,365.02,TRANS_940482,1673166374,0
7883,2023-01-08 08:53:56,8697320827273447,nan,Merchant_25,444.02,TRANS_716653,1673168036,0
1360,2023-01-08 10:48:53,2552592831193093,Windows,Merchant_6,456.27,TRANS_213344,1673174933,0
6865,2023-01-08 11:49:35,6035671487444761,nan,Merchant_13,152.38,TRANS_947850,1673178575,0
7962,2023-01-08 11:57:21,5164246956163894,Windows,Merchant_15,65.36,TRANS_501939,1673179041,0
8315,2023-01-08 12:11:38,3935869139323712,Windows,Merchant_39,150.04,TRANS_412941,1673179898,0
5272,2023-01-08 13:50:52,7875519768769935,nan,Merchant_36,149.63,TRANS_869782,1673185852,0
7243,2023-01-08 15:07:09,4031647356924302,macOS,Merchant_40,266.43,TRANS_157233,1673190429,0
8495,2023-01-08 15:12:51,8270207132271332,nan,Merchant_66,489.02,TRANS_241800,1673190771,0
1806,2023-01-08 15:13:21,2556236132079148,nan,Merchant_72,331.02,TRANS_439410,1673190801,0
5908,2023-01-08 15:50:48,9116833540864362,nan,Merchant_19,111.01,TRANS_352367,1673193048,0
9177,2023-01-08 15:51:35,6126632551643074,macOS,Merchant_70,399.17,TRANS_911590,1673193095,0
7118,2023-01-08 16:03:23,3302325965752194,nan,Merchant_72,346.59,TRANS_934876,1673193803,0
2516,2023-01-08 16:13:45,5604654092341286,nan,Merchant_29,10.54,TRANS_241596,1673194425,0
6871,2023-01-08 16:14:34,7173893111195766,other,Merchant_97,42.37,TRANS_539782,1673194474,0
8552,2023-01-08 17:02:33,7206519127197294,other,Merchant_57,324.46,TRANS_197838,1673197353,0
314,2023-01-08 17:26:05,7206519127197294,nan,Merchant_26,418.15,TRANS_787656,1673198765,0
2109,2023-01-08 19:35:32,6035671487444761,nan,Merchant_65,491.78,TRANS_543951,1673206532,0
4464,2023-01-08 21:25:26,2433145716224582,Windows,Merchant_95,338.05,TRANS_538369,1673213126,0
5801,2023-01-08 21:27:05,3183230737114486,nan,Merchant_30,50.98,TRANS_978040,1673213225,0
2682,2023-01-08 22:33:27,4920577175372430,Windows,Merchant_56,8.33,TRANS_612736,1673217207,0
2206,2023-01-08 23:07:38,3106926578836055,Linux,Merchant_8,140.74,TRANS_114446,1673219258,0
4148,2023-01-08 23:15:52,7873618782013964,nan,Merchant_17,364.74,TRANS_890132,1673219752,0
1684,2023-01-08 23:45:04,9297402512388457,nan,Merchant_97,67.13,TRANS_724083,1673221504,0
4354,2023-01-08 23:53:34,8009938390432138,nan,Merchant_40,271.02,TRANS_712303,1673222014,0
8887,2023-01-09 00:44:04,5604743620825273,nan,Merchant_45,349.36,TRANS_178717,1673225044,0
9402,2023-01-09 02:01:57,7106171954817091,nan,Merchant_56,280.39,TRANS_367870,1673229717,0
7435,2023-01-09 02:29:45,2570242924797750,Windows,Merchant_82,448.48,TRANS_723002,1673231385,0
6834,2023-01-09 02:44:33,2940396818286852,nan,Merchant_93,452.15,TRANS_751915,1673232273,0
6516,2023-01-09 03:14:29,8894287466909439,nan,Merchant_82,422.82,TRANS_531226,1673234069,0
9130,2023-01-09 03:30:55,9176521297121230,nan,Merchant_61,123.06,TRANS_454946,1673235055,0
8003,2023-01-09 04:45:49,8058627383033840,nan,Merchant_19,461.36,TRANS_917844,1673239549,0
8192,2023-01-09 05:56:28,6976292893156796,other,Merchant_98,168.17,TRANS_105122,1673243788,0
8620,2023-01-09 06:33:51,3665187874702447,other,Merchant_26,498.01,TRANS_602802,1673246031,0
1635,2023-01-09 06:33:55,8219705739824918,nan,Merchant_74,118.09,TRANS_339988,1673246035,0
5656,2023-01-09 07:57:28,7535110911009677,nan,Merchant_65,338.42,TRANS_115473,1673251048,0
846,2023-01-09 08:35:59,8578473389283262,nan,Merchant_52,43.59,TRANS_775650,1673253359,0
6186,2023-01-09 09:52:00,5299228950052670,nan,Merchant_32,394.23,TRANS_310015,1673257920,0
699,2023-01-09 11:21:43,8349638894473732,nan,Merchant_47,241.09,TRANS_488451,1673263303,0
7652,2023-01-09 11:24:18,4391929952632524,macOS,Merchant_22,37.55,TRANS_945136,1673263458,0
9831,2023-01-09 12:10:56,7169962163186267,nan,Merchant_15,447.81,TRANS_276517,1673266256,0
4195,2023-01-09 14:00:29,9382722721626955,macOS,Merchant_4,94.13,TRANS_222728,1673272829,0
8966,2023-01-09 14:12:54,4746862015057497,nan,Merchant_34,296.37,TRANS_209103,1673273574,0
6850,2023-01-09 14:53:48,7206519127197294,macOS,Merchant_58,114.15,TRANS_811839,1673276028,0
5871,2023-01-09 15:13:46,9308380113332358,Windows,Merchant_28,119.12,TRANS_897577,1673277226,0
